06.11.2014 - 00:10:01 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:02 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:03 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:05 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:06 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:07 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:08 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:09 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:10 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:30 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:32 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:33 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:34 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
